Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"13 Dec 2023"
"All datapoints provided as of end of last active trading day."
1000MERCIS;FR0010285965;ALMIL;"Euronext Growth Paris";EUR;23.40;23.60;23.40;23.60;"12/12/2023 14:48";CET;49;1151.60;23.60;12/12/2023
2CRSI;FR0013341781;AL2SI;"Euronext Growth Paris";EUR;1.965;2.16;1.93;1.98;"12/12/2023 17:35";CET;110118;224344.08;1.98;12/12/2023
"A.S.T. GROUPE";FR0000076887;ALAST;"Euronext Growth Paris";EUR;0.742;0.76;0.71;0.76;"12/12/2023 16:49";CET;3945;2861.81;0.76;12/12/2023
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;3.065;3.065;2.955;2.97;"12/12/2023 17:35";CET;38957;116764.79;2.97;12/12/2023
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;4.95;4.95;4.84;4.84;"12/12/2023 18:20";CET;56131;273917.16;4.84;12/12/2023
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;14.60;14.70;14.50;14.70;"12/12/2023 17:35";CET;364;5307.20;14.70;12/12/2023
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;1.39;1.40;1.352;1.38;"12/12/2023 17:37";CET;51993;71827.50;1.38;12/12/2023
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;9.52;9.56;9.22;9.50;"12/12/2023 17:35";CET;29797;280470.84;9.50;12/12/2023
"ABL Diagnostics";FR001400AHX6;ABLD;"Euronext Paris";EUR;9.70;9.70;9.70;9.70;"13/10/2023 11:30";CET;15;145.50;9.70;12/12/2023
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels, Paris";EUR;5.60;5.70;5.60;5.70;"12/12/2023 09:19";CET;208;1168.40;5.70;12/12/2023
"ACANTHE DEV.";FR0000064602;ACAN;"Euronext Paris";EUR;0.372;0.38;0.37;0.38;"12/12/2023 16:54";CET;26926;10057.31;0.38;12/12/2023
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;34.94;35.47;34.87;35.24;"12/12/2023 17:35";CET;940987;33184343.89;35.24;12/12/2023
ACHETER-LOUER.FR;FR001400JAP8;ALALO;"Euronext Growth Paris";EUR;0.035;0.035;0.03;0.03;"12/12/2023 17:35";CET;148124;4717.90;0.03;12/12/2023
ACTEOS;FR0000076861;EOS;"Euronext Paris";EUR;1.23;1.23;1.18;1.23;"12/12/2023 17:03";CET;1669;1993.97;1.23;12/12/2023
"ACTIA GROUP";FR0000076655;ALATI;"Euronext Growth Paris";EUR;3.94;4.00;3.80;3.84;"12/12/2023 17:13";CET;13261;51555.83;3.84;12/12/2023
"ACTICOR BIOTECH";FR0014005OJ5;ALACT;"Euronext Growth Paris";EUR;2.90;2.98;2.87;2.87;"12/12/2023 16:19";CET;2213;6426.45;2.87;12/12/2023
"ACTIVIUM GROUP";FR0010979377;MLACT;"Euronext Access Paris";EUR;1.55;1.55;1.55;1.55;"12/12/2023 16:30";CET;9;13.95;1.55;12/12/2023
"ADC SIIC";BE0974269012;ALDV;"Euronext Paris";EUR;0.075;0.075;0.07;0.07;"11/12/2023 16:30";CET;10400;750.00;0.07;12/12/2023
ADEUNIS;FR0013284627;ALARF;"Euronext Growth Paris";EUR;0.215;0.236;0.215;0.227;"12/12/2023 16:47";CET;8437;1843.60;0.227;12/12/2023
ADOCIA;FR0011184241;ADOC;"Euronext Paris";EUR;8.20;8.36;7.81;7.94;"12/12/2023 17:35";CET;109818;879100.13;7.94;12/12/2023
ADOMOS;FR001400JAL7;ALADO;"Euronext Growth Paris";EUR;0.0405;0.0405;0.0362;0.0404;"12/12/2023 17:35";CET;240589;9409.92;0.0404;12/12/2023
ADP;FR0010340141;ADP;"Euronext Paris";EUR;116.60;117.50;116.10;117.50;"12/12/2023 17:35";CET;81563;9564576.80;117.50;12/12/2023
ADUX;FR0012821890;ADUX;"Euronext Paris, Amsterdam";EUR;1.19;1.19;1.145;1.145;"12/12/2023 17:35";CET;1645;1888.07;1.145;12/12/2023
ADVICENNE;FR0013296746;ALDVI;"Euronext Growth Paris";EUR;1.892;1.90;1.846;1.89;"12/12/2023 16:27";CET;5928;11162.80;1.89;12/12/2023
ADVINI;FR0000053043;ALAVI;"Euronext Growth Paris";EUR;16.40;16.40;16.20;16.20;"12/12/2023 12:49";CET;366;5932.00;16.20;12/12/2023
"AELIS FARMA";FR0014007ZB4;AELIS;"Euronext Paris";EUR;13.35;13.35;13.35;13.35;"12/12/2023 10:57";CET;21;280.35;13.35;12/12/2023
"AERKOMM INC";US00774B2088;AKOM;"Euronext Paris";EUR;2.22;2.22;2.22;2.22;"08/12/2023 11:45";CET;30;66.60;2.22;12/12/2023
"AFFLUENT MED BSAR";FR001400FL38;AFMBS;"Euronext Paris";EUR;0.0004;0.0004;0.0004;0.0004;"11/12/2023 15:25";CET;18;-;0.0004;12/12/2023
"AFFLUENT MEDICAL";FR0013333077;AFME;"Euronext Paris";EUR;1.24;1.245;1.23;1.235;"12/12/2023 16:25";CET;10442;12882.90;1.235;12/12/2023
AFYREN;FR0014005AC9;ALAFY;"Euronext Growth Paris";EUR;2.14;2.20;2.11;2.11;"12/12/2023 17:35";CET;14845;32174.54;2.11;12/12/2023
